name,features,category,audience,keywords
Wireless Earbuds,Noise-cancelling; Bluetooth 5.3; 30-hour battery; Fast charging,Electronics,Travelers; Students,wireless earbuds, bluetooth earbuds
Smart LED Bulb,16M colors; App-controlled; Voice assistant compatible; Energy saving,Electronics,Home users; Renters,smart bulb, rgb light
Gaming Mouse,6 programmable buttons; RGB lighting; 16000 DPI; Ergonomic design,Electronics,Gamers,gaming mouse, rgb gaming
4K Action Camera,Waterproof; 4K UHD; Stabilization; Slow-motion video,Cameras,Travelers; Vloggers,action camera, 4k camera
Laptop Cooling Pad,5 fans; RGB glow; Adjustable height; Silent operation,Electronics,Students; Gamers,laptop cooling stand
Bluetooth Speaker,360° sound; Waterproof; Long battery; Deep bass,Electronics,Outdoor lovers,bluetooth speaker
Power Bank 20,000mAh,Fast charging; Dual USB; Compact; LED indicator,Electronics,Everyone,power bank fast charging
Portable Projector,1080p; WiFi mirroring; Built-in speakers; Remote included,Electronics,Families; Students,mini projector
Robot Vacuum,Self-charging; App controlled; Multi-surface cleaning; Low noise,Home,Busy professionals,robot vacuum
Air Purifier,HEPA filter; Low noise; Auto mode; Odor removal,Home,All households,air purifier hepa
Electric Kettle,Auto shut-off; Stainless steel; 1.5L; Fast boil,Kitchen,Students; Families,electric kettle stainless steel
Non-stick Frying Pan,Induction friendly; PFOA-free; Soft handle; Scratch-proof,Kitchen,Chefs; Home cooks,frying pan nonstick
Blender Mixer Grinder,450W; 3 jars; Multi-speed; Durable blades,Kitchen,Families; Chefs,blender mixer grinder
Coffee Maker,Programmable; 12-cup; Anti-drip; Keep-warm plate,Kitchen,Coffee lovers,coffee machine
Treadmill,Auto incline; 12 programs; Foldable; Heart-rate sensor,Fitness,Fitness enthusiasts,home treadmill
Yoga Mat,Non-slip; 6mm thickness; Sweat resistant; Lightweight,Fitness,Yoga lovers,yoga mat non slip
Dumbbell Set,Adjustable weight; Rubber coated; Anti-slip grip,Fitness,Gym-goers,dumbbell set
Resistance Bands,5 levels; Latex-free; Portable; Door anchor included,Fitness,Home exercisers,resistance bands workout
Running Shoes,Breathable mesh; Lightweight; Memory foam; Anti-slip,Fashion,Athletes; Students,running shoes lightweight
Winter Jacket,Waterproof; Hooded; Thermal insulation; Windproof,Fashion,Men; Winter travelers,winter jacket warm
Digital Watch,Waterproof; Step counter; Calorie tracker; LED display,Fashion,Teens; Adults,digital watch waterproof
Leather Wallet,Minimalist; RFID blocking; 6 card slots; Lightweight,Fashion,Men,leather wallet rfid
Sunglasses UV400,Polarized; Lightweight; Scratch-resistant; Stylish,Fashion,Everyone,polarized sunglasses uv400
Handbag Tote,Waterproof; Spacious; Multi-pocket; Elegant design,Fashion,Women,handbag tote waterproof
Camping Tent,Waterproof; 3-person; Easy setup; UV protection,Outdoors,Campers; Travelers,camping tent
Hiking Backpack,Waterproof; 40L; Breathable mesh; Chest strap,Outdoors,Hikers,hiking backpack 40l
Sleeping Bag,Compact; Warm; Lightweight; Travel-friendly,Outdoors,Campers; Backpackers,sleeping bag warm
Travel Pillow,Memory foam; Washable cover; Neck support; Breathable,Travel,Travelers; Office commuters,travel pillow memory foam
Smartwatch,Blood oxygen; Sleep tracking; Notifications; Waterproof,Electronics,Fitness users,smartwatch waterproof
Laptop Stand,Aluminum; Adjustable; Portable; Foldable,Office,Students; Professionals,laptop stand portable
Desk Organizer,Wooden; Multi-slot; Minimalist; Durable,Office,Employees; Students,desk organizer wood
Office Chair,Ergonomic; Adjustable height; Lumbar support; Wheels,Office,Workers; Gamers,ergonomic chair
Perfume Body Mist,Long-lasting; Floral scent; Skin-friendly; Travel size,Beauty,Women,perfume body mist
Face Serum,Vitamin C; Anti-aging; Brightening; Lightweight,Beauty,Women; Teens,vitamin c serum
Makeup Kit,12 colors; Waterproof; Travel-friendly; Blendable,Beauty,Women; Teens,makeup kit palette
Hair Dryer,Ionic technology; 3 heat modes; Foldable; Fast drying,Beauty,Women; Men,hair dryer fast drying
Beard Trimmer,USB charging; Stainless blades; 60 min battery; Adjustable comb,Beauty,Men,beard trimmer rechargeable
Face Massager,Rechargeable; Sonic vibration; Skin tightening; LED lights,Beauty,Women,face massager tool
Notebook Set,Hardcover; 200 pages; A5 size; Premium paper,Stationery,Students; Writers,notebook a5 set
Pen Set,Metal body; Smooth writing; Refillable; Pack of 3,Stationery,Professionals; Students,pen set metal
Planner 2025,Weekly + monthly; Stickers; Premium cover; Aesthetic design,Stationery,Office workers,planner 2025
Water Bottle Steel,Insulated; 750ml; Leak-proof; Matte finish,Home,Everyone,steel water bottle
Portable Fan,USB powered; Quiet; Adjustable speed; Compact,Gadgets,Office workers,portable fan usb
Phone Tripod,Flexible legs; Universal mount; Lightweight; Travel-friendly,Gadgets,Content creators,phone tripod flexible
Microfiber Towel,Quick dry; Lightweight; Ultra absorbent; Soft,Sports,Gym users,microfiber towel quickdry
Football,Durable; Waterproof; Perfect grip; PU leather,Sports,Athletes; Kids,football pu
Skipping Rope,Adjustable; PVC cable; Lightweight; Fast rotation,Sports,Fitness users,skipping rope adjustable
Gym Bag,Waterproof; Shoe compartment; Lightweight; 35L,Sports,Gym-goers,gym bag waterproof
